Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,54790398570.3282,59413400923.6364,61516103406.1688,73482264190.9245,91913680985.1708,107046618669.707,123084258693.01,142482739809.849,180383848331.135,150317292079.359,177785053939.531,218331946925.304,227143746075.934,229701430292.157,238942664192.59,187493855609.345,180763839522.151,189880896903.073,194554483655.528,193459662090.677,164873415325.201,186231205262.082,225581644702.568,247923887214.655,269322281664.773,..
Algeria,DZA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.80000000158476,2.99999999863043,5.40000000000001,6.50000000062043,4.49999999976698,5.39999999969525,2.89999999905852,3.10000000128674,2.49999999929371,1.19999999969519,4.80000000093564,2.99999999941909,2.40000000034432,2.60000000061164,4.09999999866501,3.20000000089023,3.90000000017621,1.49999999895587,1.40000000088281,0.899999999219148,-4.99999999908597,3.79999999900707,3.60000000094915,4.10000000005964,3.69999999907979,..
Algeria,DZA,GDP per capita (current US$),NY.GDP.PCAP.CD,1772.92869122761,1896.30020878013,1937.46411413019,2283.77299346126,2816.99384960555,3233.13339634212,3660.66104745322,4167.45169937531,5180.91881514686,4235.42990456612,4912.78585503672,5916.31364364343,6033.64884689543,5979.60138960585,6094.69392314956,4685.05902729002,4424.98529027556,4554.66753957828,4577.21029180491,4468.45341883656,3743.5419522929,4160.55926736925,4960.30334332888,5370.477235078,5752.99076651465,..
Algeria,DZA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,2.35726435010288,1.59517814379704,4.00705031536965,5.09333212662064,3.05086148235007,3.86890214242119,1.32618894855368,1.39346833661227,0.652527943948144,-0.72042057547074,2.77921908194712,1.00399237129356,0.379563284418055,0.548743629610698,2.00005200987388,1.09962061859601,1.78594064734014,-0.541667024495979,-0.546019580108478,-0.939992962004737,-6.61247509707083,2.13263632683078,1.96825188100587,2.55120301943617,2.25996527082104,..
Algeria,DZA,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,0.520704383422654,0.318371660835649,0.22409030213247,0.194161912869368,0.151329169261192,0.132398562591105,0.0766116916583422,0.0678421259938725,0.0506222986627452,0.059911941674207,0.0592920836817805,0.090137159694386,0.0734405775890513,0.0769842274328325,0.0704306388685683,0.0768130382510503,0.229127480378834,0.185981841536564,0.190907251680752,..,..,..,..,..,..,..
Algeria,DZA,Market capitalization of listed domestic companies (current US$),CM.MKT.LCAP.CD,285296007.050442,189155431.279524,137851621.983006,142674569.772822,139092209.872241,141728184.421074,94296932.7498449,96663319.8613195,91314450.4415403,90058008.356833,105412462.955525,196798215.663923,166815679.075574,176833871.512583,168288844.920419,144019727.027575,414179630.933144,353143988.786481,371418617.768445,..,..,..,..,..,..,..
Algeria,DZA,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,..,..,..,..,..,-1100999999.99995,-1762000000.00007,-1539745127.74471,-2320754663.57849,-2532507565.45895,-2081136054.38594,-2037319357.9126,-1541844615.21892,-1963635049.70213,-1520777119.23079,638915215.345589,-1591723072.0537,-1238809875.76889,-619904539.936101,-1350051614.14718,-1129312783.55399,-919756337.019922,-157209788.407522,-1048795707.45735,-1226149976.64736,..
Algeria,DZA,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,0.511220957154505,1.87349238167778,1.73118897497205,0.868036712018978,0.962586875552012,1.07990333031143,1.49572335207526,1.1838181536619,1.46277344571787,1.82742164668261,1.29390467487817,1.17767329101171,0.660551953898791,0.736559065111634,0.628688968391006,-0.286832290676438,0.906300705997455,0.647902696344894,0.753576088552125,0.713947308015691,0.693816014772836,0.466728479682941,0.107187812155079,0.489819143410423,0.455370730483787,..
Algeria,DZA,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,Real interest rate (%),FR.INR.RINR,-10.3343779975902,1.37540693520959,7.11282850261404,-0.750361449727912,-3.09251853802661,-3.88174750068618,-2.51051997823398,0.844558436606999,-6.18312466469342,16.5976144696892,-6.53956357149489,-7.62022648935877,-0.00226526143978329,7.04435828748252,6.45599979815453,13.6683505561602,7.08263567020895,2.91790627930198,1.72874977289301,7.05471454760202,13.3398767236666,-6.84242363086498,-12.1381943578662,6.92907177086673,4.47402521317597,..
Algeria,DZA,Domestic credit to private sector by banks (% of GDP),FD.AST.PRVT.GD.ZS,5.94905219189264,7.35064830095516,11.2247900124854,10.335213370193,10.1871546670834,11.421127894114,11.5017251839844,12.2855916116841,12.1122581846356,14.8286794932521,13.7742958941425,12.5488742058705,12.8934410793233,15.0524766379275,16.3999184158829,19.1940416812752,20.2346166999021,21.8449886502322,22.3718825950813,22.8981304002728,26.1031661322496,22.6446473775232,18.2286844136791,18.8336494806803,19.0177594233047,..
